,ret
ABT.Close,0.1106785777749344
BAC.PE.Close,0.12247532525241178
C.PJ.Close,0.18140359997805744
NVS.Close,0.1927052992054321
UNH.Close,0.1937425349007451
WFC.PL.Close,0.1962908105747878
CSCO.Close,0.21391756197442469
JPM.PD.Close,0.21765473668089852
WFC.PQ.Close,0.21784063372437967
MCD.Close,0.22018229977090065
PEP.Close,0.22496678565720685
BML.PH.Close,0.28142615053882203
JPM.PC.Close,0.2951757159865027
ACN.Close,0.33699718281487256
KO.Close,0.35623843452916804
BAC.PB.Close,0.38033314201642154
HD.Close,0.40194534099170287
RYDAF.Close,0.4101178805356491
XOM.Close,0.4125755534277411
TXN.Close,0.45856488787193417
WFC.PR.Close,0.48991638894353406
WFC.PY.Close,0.5325790908161789
BAC.PK.Close,0.5625217603440482
CMCSA.Close,0.6138196047229334
BML.PG.Close,0.6900811388166084
TCTZF.Close,0.7108240011023923
TCEHY.Close,0.796835141274497
CVX.Close,0.8718615377999148
SHEL.Close,1.0574309190131994
AVGO.Close,1.0818095121435642
INTC.Close,1.2465560674595553
NVSEF.Close,1.3359851742208617
ADBE.Close,1.3665939797469622
TMUS.Close,1.430348034632455
